n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
N,ureE,Prochlorococcus MED4,PMM0967,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-1.35589418,1.0,not_significant
N,cynD,Prochlorococcus MED4,PMM0372,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,1.350649249,1.0,not_significant
N,cynB,Prochlorococcus MED4,PMM0371,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,1.33327420552572,0.0721109025683839,not_significant
P,pstA,Prochlorococcus MED4,PMM0035,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,1.333168179,1.0,not_significant
N,ureB,Prochlorococcus MED4,PMM0964,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,1.32778315629641,0.01,significant_up
N,urtE,Prochlorococcus MED4,PMM0974,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,1.3202410768900066,0.0055362407899833,significant_up
P,pstS,Prochlorococcus MED4,PMM0710,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-1.32,1.0,not_significant
P,PMM719,Prochlorococcus MED4,PMM0719,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,1.3137504893600755,0.014588162129705,significant_up
N,cynS,Prochlorococcus MED4,PMM0373,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,1.30489826202393,0.0347277383696124,significant_up
P,phoB,Prochlorococcus MED4,PMM0705,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,1.3,0.47,not_significant
P,pstA,Prochlorococcus MED4,PMM0035,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,1.29235948696794,0.01,significant_up
P,PMM707,Prochlorococcus MED4,PMM0707,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,1.29,0.13,not_significant
N,cynS,Prochlorococcus MED4,PMM0373,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,1.289198572,1.0,not_significant
N,cynB,Prochlorococcus MED4,PMM0371,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,1.27374362945557,0.16176371197448,not_significant
P,chrA,Prochlorococcus MED4,PMM0711,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,1.26099492,1.0,not_significant
N,ureA,Prochlorococcus MED4,PMM0965,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,1.25440692901611,0.0130553170607451,significant_up
N,glsF,Prochlorococcus MED4,PMM1512,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,1.24648614137608,0.01,significant_up
N,ureA,Prochlorococcus MED4,PMM0965,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,1.243182442,1.0,not_significant
P,PMM721,Prochlorococcus MED4,PMM0721,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-1.236400604,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0035,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,1.22640387217204,0.0002781538902651,significant_up
N,ntcA,Prochlorococcus MED4,PMM0246,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,1.22622802,1.0,not_significant
P,ppX,Prochlorococcus MED4,PMM0457,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,1.22308985392253,0.000109903580992,significant_up
N,ureG,Prochlorococcus MED4,PMM0969,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,1.21799783854879,0.01,significant_up
P,PMM721,Prochlorococcus MED4,PMM0721,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-1.205596829,1.0,not_significant
P,ppA,Prochlorococcus MED4,PMM0511,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-1.20213419019854,0.01,significant_down
N,ureC,Prochlorococcus MED4,PMM0963,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,1.2,0.38,not_significant
P,PMM722,Prochlorococcus MED4,PMM0722,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,1.19332122802734,0.0512466747808835,not_significant
P,pstS,Prochlorococcus MED4,PMM0710,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-1.17640764841184,0.01,significant_down
P,PMM722,Prochlorococcus MED4,PMM0722,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,1.15018240610758,0.124419513591498,not_significant
P,phnD,Prochlorococcus MED4,PMM0673,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-1.14412133,1.0,not_significant
P,phoB,Prochlorococcus MED4,PMM0705,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-1.1371656454925427,0.0031858647406717,significant_down
N,ureA,Prochlorococcus MED4,PMM0965,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,1.135729397,1.0,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,1.1257594426473,0.0005316133231843,significant_up
P,ppA,Prochlorococcus MED4,PMM0494,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-1.1230130584379,0.01,significant_down
N,cynS,Prochlorococcus MED4,PMM0373,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,1.11622905731201,0.0279676097992219,significant_up
P,phnD,Prochlorococcus MED4,PMM0673,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-1.114633759,1.0,not_significant
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,1.09022039554685,0.01,significant_up
N,ureA,Prochlorococcus MED4,PMM0965,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,1.0838688978539,0.01,significant_up
N,cynB,Prochlorococcus MED4,PMM0371,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,1.080973522,1.0,not_significant
N,cynS,Prochlorococcus MED4,PMM0373,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,1.055594537,1.0,not_significant
P,phoR,Prochlorococcus MED4,PMM0706,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-1.05511283874512,0.0022121851169193,significant_down
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,1.05240145098823,0.01,significant_up
N,ureD,Prochlorococcus MED4,PMM0966,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,1.05,0.29,not_significant
P,ppK,Prochlorococcus MED4,PMM1696,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-1.046999824,1.0,not_significant
P,phnE,Prochlorococcus MED4,PMM0671,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-1.041345588,1.0,not_significant
P,phnD,Prochlorococcus MED4,PMM0673,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-1.040163032,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0035,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,1.031526491079953,0.0067338280929095,significant_up
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,1.01010862986247,0.0010926752597998,significant_up
P,ppA,Prochlorococcus MED4,PMM0511,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-1.008904391,1.0,not_significant
N,urtD,Prochlorococcus MED4,PMM0973,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,1.0075126293068315,0.0278893507331073,significant_up
N,pipX,Prochlorococcus MED4,PMM0393,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,1.00702953338623,0.0164797999456599,significant_up
P,pstS,Prochlorococcus MED4,PMM0710,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.999087333679201,0.0002610036013038,not_significant
P,pstA,Prochlorococcus MED4,PMM0724,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.990463574727374,0.0469406945062104,not_significant
P,ppA,Prochlorococcus MED4,PMM0494,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,0.99,0.81,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.982868037,1.0,not_significant
N,ureG,Prochlorococcus MED4,PMM0969,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.9814433301071968,0.0057525757398383,not_significant
P,PMM719,Prochlorococcus MED4,PMM0719,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.975096343114248,0.01,significant_up
P,chrA,Prochlorococcus MED4,PMM0711,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.954481505,1.0,not_significant
P,PMM721,Prochlorococcus MED4,PMM0721,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.951799515,1.0,not_significant
P,chrA,Prochlorococcus MED4,PMM0711,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.947491036,1.0,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,0.94,0.4,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.924705823262534,0.0317238746356369,not_significant
P,phnC,Prochlorococcus MED4,PMM0672,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-0.923038333,1.0,not_significant
P,phnD,Prochlorococcus MED4,PMM0673,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.916691144307456,0.0027807025078499,not_significant
P,PMM707,Prochlorococcus MED4,PMM0707,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.914147001,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0724,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.912920658,1.0,not_significant
N,ureB,Prochlorococcus MED4,PMM0964,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.912417913,1.0,not_significant
P,arsR,Prochlorococcus MED4,PMM0714,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.911613208,1.0,not_significant
N,cynS,Prochlorococcus MED4,PMM0373,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.904883582,1.0,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-0.9037284661205786,0.0118757498829612,not_significant
P,phoR,Prochlorococcus MED4,PMM0706,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-0.9020615042254247,0.021637601249755,not_significant
P,phnE,Prochlorococcus MED4,PMM0671,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-0.899969736735024,0.0763795357590406,not_significant
N,ureG,Prochlorococcus MED4,PMM0969,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.899624506632485,0.0403152845021017,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.897205448251782,0.01,significant_up
P,gap3,Prochlorococcus MED4,PMM0713,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.894054052,1.0,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-0.89,0.72,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.872687543,1.0,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.872009404,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0035,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,0.87,1.0,not_significant
P,PMM719,Prochlorococcus MED4,PMM0719,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,-0.87,0.8,not_significant
P,pstC,Prochlorococcus MED4,PMM0723,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.868795192,1.0,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,0.86,0.97,not_significant
P,sqdB,Prochlorococcus MED4,PMM1665,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,-0.86,0.33,not_significant
P,phnE,Prochlorococcus MED4,PMM0671,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.859485312,1.0,not_significant
N,nadB,Prochlorococcus MED4,PMM0100,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-0.858004252115885,0.0004048178600392,not_significant
P,sqdB,Prochlorococcus MED4,PMM1665,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.857975133,1.0,not_significant
P,gap3,Prochlorococcus MED4,PMM0713,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.834381739298503,0.0008523050672818,not_significant
N,ureA,Prochlorococcus MED4,PMM0965,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.833249409993486,0.07384760350825,not_significant
N,urtA,Prochlorococcus MED4,PMM0970,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.82442315419515,0.0039027325118359,not_significant
N,urtC,Prochlorococcus MED4,PMM0972,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.82244300842285,0.0420836362339619,not_significant
N,thiO,Prochlorococcus MED4,PMM0047,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.8102821392956102,0.0070307728850213,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,0.81,1.0,not_significant
P,ppK,Prochlorococcus MED4,PMM1696,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.804605321,1.0,not_significant
P,phnC,Prochlorococcus MED4,PMM0672,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.803330421447754,0.0469504444769889,not_significant
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.801664843,1.0,not_significant
N,ureG,Prochlorococcus MED4,PMM0969,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.801503554,1.0,not_significant
P,PMM722,Prochlorococcus MED4,PMM0722,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,-0.8,1.0,not_significant
P,sqdB,Prochlorococcus MED4,PMM1665,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.798639963,1.0,not_significant
N,ureB,Prochlorococcus MED4,PMM0964,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.797797203063965,0.0423704890111036,not_significant
N,ureE,Prochlorococcus MED4,PMM0967,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.795965021,1.0,not_significant
P,phoR,Prochlorococcus MED4,PMM0706,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.790230066,1.0,not_significant
N,nadB,Prochlorococcus MED4,PMM0100,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.7835340635894691,0.0014793620645854,not_significant
P,phoR,Prochlorococcus MED4,PMM0706,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.779887199401855,0.0141369408570698,not_significant
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.77958576,1.0,not_significant
N,cynS,Prochlorococcus MED4,PMM0373,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.7777349901718181,0.0941706523664379,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.777664686,1.0,not_significant
N,urtA,Prochlorococcus MED4,PMM0970,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.777386665344237,0.0014001002527953,not_significant
N,urtC,Prochlorococcus MED4,PMM0972,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.7696813665292588,0.073232218770298,not_significant
N,pipX,Prochlorococcus MED4,PMM0393,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.76440665,1.0,not_significant
P,phnC,Prochlorococcus MED4,PMM0672,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.763557905,1.0,not_significant
P,phnC,Prochlorococcus MED4,PMM0672,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.76069818,1.0,not_significant
N,ureG,Prochlorococcus MED4,PMM0969,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.760268847147622,0.080142393297825,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.740431905,1.0,not_significant
N,cynB,Prochlorococcus MED4,PMM0371,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.740062395731607,0.323042005558364,not_significant
P,pstA,Prochlorococcus MED4,PMM0724,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.73602384,1.0,not_significant
N,cynS,Prochlorococcus MED4,PMM0373,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.73404732,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0724,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.729667401,1.0,not_significant
P,sqdB,Prochlorococcus MED4,PMM1665,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-0.724420976,1.0,not_significant
P,PMM719,Prochlorococcus MED4,PMM0719,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,0.72,0.56,not_significant
N,ureF,Prochlorococcus MED4,PMM0968,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.716767806,1.0,not_significant
N,cynD,Prochlorococcus MED4,PMM0372,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.713287989298502,0.0206303850684552,not_significant
P,phnE,Prochlorococcus MED4,PMM0671,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.711483983,1.0,not_significant
P,PMM707,Prochlorococcus MED4,PMM0707,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.711180552,1.0,not_significant
P,PMM721,Prochlorococcus MED4,PMM0721,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.7079439163208,0.293671351250256,not_significant
P,ppA,Prochlorococcus MED4,PMM0511,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-0.706671396891275,0.251795063250176,not_significant
P,sqdB,Prochlorococcus MED4,PMM1665,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-0.695012906,1.0,not_significant
N,pipX,Prochlorococcus MED4,PMM0393,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.693732222,1.0,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.692026774088541,0.0114515455093856,not_significant
P,phnC,Prochlorococcus MED4,PMM0672,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-0.69143549601237,0.0772933595128853,not_significant
N,ureB,Prochlorococcus MED4,PMM0964,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.683407688,1.0,not_significant
P,pstC,Prochlorococcus MED4,PMM0723,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.683204332987466,0.203879677888779,not_significant
P,PMM707,Prochlorococcus MED4,PMM0707,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.680524276,1.0,not_significant
P,arsR,Prochlorococcus MED4,PMM0714,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,0.670501866,1.0,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.662247233,1.0,not_significant
P,pstC,Prochlorococcus MED4,PMM0723,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.65653606,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0035,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.650646819,1.0,not_significant
N,ureD,Prochlorococcus MED4,PMM0966,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.648622512817386,0.0368564426926358,not_significant
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.647590637207035,0.015620114970028,not_significant
N,urtD,Prochlorococcus MED4,PMM0973,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.642414235,1.0,not_significant
P,phnD,Prochlorococcus MED4,PMM0673,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-0.642194681,1.0,not_significant
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.640798321,1.0,not_significant
N,ureC,Prochlorococcus MED4,PMM0963,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.63756763,1.0,not_significant
N,ureC,Prochlorococcus MED4,PMM0963,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.63168239593506,0.0274045512638865,not_significant
N,cynS,Prochlorococcus MED4,PMM0373,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.629897435506186,0.180289681060176,not_significant
N,ureG,Prochlorococcus MED4,PMM0969,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.628258636,1.0,not_significant
