group,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
H1_P,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,4.67,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0721,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,4.356,0.0367,significant_up
H1_P,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,3.49,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.882,0.0001,significant_up
H1_P,Prochlorococcus MED4,PMM0707,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.677,0.0053,significant_up
H1_P,Prochlorococcus MED4,PMM0706,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,2.522,0.0084,significant_up
H1_P,Prochlorococcus MED4,PMM0713,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,2.467,0.0011,significant_up
H1_P,Prochlorococcus MED4,PMM0713,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.424,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0723,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.264,0.0051,significant_up
H1_P,Prochlorococcus MED4,PMM0719,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.257,0.0042,significant_up
H1_P,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,2.232,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,2.158,0.1601,not_significant
H1_P,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,2.142,0.008,significant_up
H1_P,Prochlorococcus MED4,PMM0723,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.866,0.2065,not_significant
H1_P,Prochlorococcus MED4,PMM0724,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.728,0.2691,not_significant
H1_P,Prochlorococcus MED4,PMM1416,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,1.537,0.164,not_significant
H1_P,Prochlorococcus MED4,PMM0723,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,1.536,0.1464,not_significant
H1_P,Prochlorococcus MED4,PMM0706,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,1.513,0.4544,not_significant
H1_P,Prochlorococcus MED4,PMM0706,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,1.455,0.1464,not_significant
H1_P,Prochlorococcus MED4,PMM0707,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,0h,-1.381,0.2181,not_significant
H1_P,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.336,0.4679,not_significant
H1_P,Prochlorococcus MED4,PMM0719,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,1.313,0.4148,not_significant
H1_P,Prochlorococcus MED4,PMM0719,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,0h,-1.289,0.3027,not_significant
H1_P,Prochlorococcus MED4,PMM0724,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,1.28,0.6342,not_significant
H1_P,Prochlorococcus MED4,PMM0724,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,0h,-1.275,0.2839,not_significant
H1_P,Prochlorococcus MED4,PMM0721,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,1.245,0.6215,not_significant
H1_P,Prochlorococcus MED4,PMM0706,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.241,0.4769,not_significant
H1_P,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,1.202,0.3275,not_significant
H1_P,Prochlorococcus MED4,PMM0707,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.161,0.5223,not_significant
H1_P,Prochlorococcus MED4,PMM0721,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,-1.143,0.6188,not_significant
H1_P,Prochlorococcus MED4,PMM0710,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,0h,1.142,0.4626,not_significant
H1_P,Prochlorococcus MED4,PMM0713,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,4h,1.109,0.5695,not_significant
H1_P,Prochlorococcus MED4,PMM0723,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,0h,1.104,0.557,not_significant
H1_P,Prochlorococcus MED4,PMM0707,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,12h,1.094,0.7691,not_significant
